STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100301,0.00,0.0,0.0,40,30,36
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100302,0.00,0.0,0.0,48,28,28
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100303,0.00,0.0,0.0,46,28,33
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100304,0.00,0.0,0.0,39,32,34
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100305,0.00,0.0,0.0,46,34,34
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100306,0.00,0.0,0.0,48,26,26
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100307,0.00,0.0,0.0,54,26,30
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100308,0.00,0.0,0.0,56,29,37
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100309,0.00,0.0,0.0,60,29,37
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100310,0.00,0.0,0.0,61,32,33
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100311,0.00,0.0,0.0,58,33,43
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100312,0.00,0.0,0.0,55,41,42
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100313,0.59,0.0,0.0,43,38,40
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100314,2.85,0.0,0.0,46,39,45
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100315,0.56,0.0,0.0,50,40,42
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100316,0.20,0.0,0.0,45,39,41
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100317,0.00,0.0,0.0,64,35,35
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100318,0.00,0.0,0.0,67,35,40
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100319,0.00,0.0,0.0,76,40,41
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100320,0.00,0.0,0.0,71,40,45
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100321,0.00,0.0,0.0,74,45,46
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100322,0.00,0.0,0.0,69,47,52
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100323,1.88,0.0,0.0,56,50,56
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100324,0.00,0.0,0.0,50,42,42
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100325,0.00,0.0,0.0,62,37,37
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100326,0.20,0.0,0.0,64,36,40
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100327,0.00,0.0,0.0,47,26,26
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100328,0.00,0.0,0.0,44,26,33
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100329,1.65,0.0,0.0,50,33,50
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100330,0.25,0.0,0.0,55,41,41
GHCND:USC00282768,ESSEX FELLS SERV BUILDING NJ US,20100331,2.04,0.0,0.0,46,39,44
